County;Normal Charging Point;Fast Charging Point;Total;Year
Landkreis Alb-Donau-Kreis;12;8;20;2017
Landkreis Biberach;4;4;8;2017
Landkreis Böblingen;7;12;19;2017
Landkreis Bodenseekreis;68;0;68;2017
Landkreis Breisgau-Hochschwarzwald;30;6;36;2017
Landkreis Calw;2;0;2;2017
Landkreis Emmendingen;6;0;6;2017
Landkreis Enzkreis;2;4;6;2017
Landkreis Esslingen;21;2;23;2017
Landkreis Freudenstadt;6;0;6;2017
Landkreis Göppingen;4;9;13;2017
Landkreis Heidenheim;11;10;21;2017
Landkreis Heilbronn;9;16;25;2017
Landkreis Hohenlohekreis;0;8;8;2017
Landkreis Karlsruhe;117;6;123;2017
Landkreis Konstanz;7;1;8;2017
Landkreis Lörrach;48;2;50;2017
Landkreis Ludwigsburg;38;7;45;2017
Landkreis Main-Tauber-Kreis;16;2;18;2017
Landkreis Neckar-Odenwald-Kreis;0;0;0;2017
Landkreis Ortenaukreis;20;18;38;2017
Landkreis Ostalbkreis;23;0;23;2017
Landkreis Rastatt;0;4;4;2017
Landkreis Ravensburg;14;2;16;2017
Landkreis Rems-Murr-Kreis;27;2;29;2017
Landkreis Reutlingen;14;0;14;2017
Landkreis Rhein-Neckar-Kreis;8;24;32;2017
Landkreis Rottweil;5;0;5;2017
Landkreis Schwäbisch Hall;2;4;6;2017
Landkreis Schwarzwald-Baar-Kreis;23;2;25;2017
Landkreis Sigmaringen;2;0;2;2017
Landkreis Tübingen;14;2;16;2017
Landkreis Tuttlingen;2;0;2;2017
Landkreis Waldshut;44;2;46;2017
Landkreis Zollernalbkreis;0;0;0;2017
Stadtkreis Baden-Baden;2;0;2;2017
Stadtkreis Freiburg im Breisgau;20;0;20;2017
Stadtkreis Heidelberg;14;0;14;2017
Stadtkreis Heilbronn;4;2;6;2017
Stadtkreis Karlsruhe;2;0;2;2017
Stadtkreis Mannheim;7;0;7;2017
Stadtkreis Pforzheim;0;0;0;2017
Stadtkreis Stuttgart;15;0;15;2017
Stadtkreis Ulm;80;0;80;2017
Kreisfreie Stadt Amberg;0;0;0;2017
Kreisfreie Stadt Ansbach;4;0;4;2017
Kreisfreie Stadt Aschaffenburg;0;0;0;2017
Kreisfreie Stadt Augsburg;25;5;30;2017
Kreisfreie Stadt Bamberg;3;0;3;2017
Kreisfreie Stadt Bayreuth;4;0;4;2017
Kreisfreie Stadt Coburg;0;0;0;2017
Kreisfreie Stadt Erlangen;5;4;9;2017
Kreisfreie Stadt Fürth;14;0;14;2017
Kreisfreie Stadt Hof;2;0;2;2017
Kreisfreie Stadt Ingolstadt;36;4;40;2017
Kreisfreie Stadt Kaufbeuren;8;0;8;2017
Kreisfreie Stadt Kempten (Allgäu);0;0;0;2017
Kreisfreie Stadt Landshut;13;0;13;2017
Kreisfreie Stadt Memmingen;8;0;8;2017
Kreisfreie Stadt München;28;7;35;2017
Kreisfreie Stadt Nürnberg;26;0;26;2017
Kreisfreie Stadt Passau;8;6;14;2017
Kreisfreie Stadt Regensburg;46;2;48;2017
Kreisfreie Stadt Rosenheim;0;0;0;2017
Kreisfreie Stadt Schwabach;4;4;8;2017
Kreisfreie Stadt Schweinfurt;12;1;13;2017
Kreisfreie Stadt Straubing;16;1;17;2017
Kreisfreie Stadt Weiden i.d. OPf.;2;0;2;2017
Kreisfreie Stadt Würzburg;8;0;8;2017
Landkreis Aichach-Friedberg;10;0;10;2017
Landkreis Altötting;4;0;4;2017
Landkreis Amberg-Sulzbach;4;0;4;2017
Landkreis Ansbach;25;14;39;2017
Landkreis Aschaffenburg;16;4;20;2017
Landkreis Augsburg;42;5;47;2017
Landkreis Bad Kissingen;4;8;12;2017
Landkreis Bad Tölz-Wolfratshausen;5;8;13;2017
Landkreis Bamberg;12;0;12;2017
Landkreis Bayreuth;1;10;11;2017
Landkreis Berchtesgadener Land;10;3;13;2017
Landkreis Cham;34;1;35;2017
Landkreis Coburg;4;0;4;2017
Landkreis Dachau;0;2;2;2017
Landkreis Deggendorf;72;0;72;2017
Landkreis Dillingen a.d. Donau;4;0;4;2017
Landkreis Dingolfing-Landau;4;0;4;2017
Landkreis Donau-Ries;10;2;12;2017
Landkreis Ebersberg;4;0;4;2017
Landkreis Eichstätt;16;2;18;2017
Landkreis Erding;1;0;1;2017
Landkreis Erlangen-Höchstadt;16;0;16;2017
Landkreis Forchheim;6;0;6;2017
Landkreis Freising;2;2;4;2017
Landkreis Freyung-Grafenau;61;2;63;2017
Landkreis Fürstenfeldbruck;1;0;1;2017
Landkreis Fürth;15;0;15;2017
Landkreis Garmisch-Partenkirchen;6;0;6;2017
Landkreis Günzburg;22;5;27;2017
Landkreis Haßberge;2;4;6;2017
Landkreis Hof;2;8;10;2017
Landkreis Kelheim;0;0;0;2017
Landkreis Kitzingen;9;10;19;2017
Landkreis Kronach;0;0;0;2017
Landkreis Kulmbach;11;1;12;2017
Landkreis Landsberg am Lech;6;8;14;2017
Landkreis Landshut;10;2;12;2017
Landkreis Lichtenfels;0;0;0;2017
Landkreis Lindau (Bodensee);10;0;10;2017
Landkreis Main-Spessart;4;0;4;2017
Landkreis Miesbach;2;4;6;2017
Landkreis Miltenberg;0;0;0;2017
Landkreis Mühldorf a. Inn;10;0;10;2017
Landkreis München;12;6;18;2017
Landkreis Neuburg-Schrobenhausen;1;0;1;2017
Landkreis Neumarkt i.d. OPf.;31;10;41;2017
Landkreis Neustadt a.d. Aisch-Bad Windsheim;18;0;18;2017
Landkreis Neustadt a.d. Waldnaab;2;0;2;2017
Landkreis Neu-Ulm;31;0;31;2017
Landkreis Nürnberger Land;35;6;41;2017
Landkreis Oberallgäu;2;0;2;2017
Landkreis Ostallgäu;36;0;36;2017
Landkreis Passau;85;3;88;2017
Landkreis Pfaffenhofen a.d. Ilm;4;0;4;2017
Landkreis Regen;119;1;120;2017
Landkreis Regensburg;26;0;26;2017
Landkreis Rhön-Grabfeld;11;7;18;2017
Landkreis Rosenheim;13;7;20;2017
Landkreis Roth;16;2;18;2017
Landkreis Rottal-Inn;3;0;3;2017
Landkreis Schwandorf;4;2;6;2017
Landkreis Schweinfurt;6;7;13;2017
Landkreis Starnberg;3;2;5;2017
Landkreis Straubing-Bogen;69;10;79;2017
Landkreis Tirschenreuth;0;0;0;2017
Landkreis Traunstein;18;8;26;2017
Landkreis Unterallgäu;12;0;12;2017
Landkreis Weilheim-Schongau;5;1;6;2017
Landkreis Weißenburg-Gunzenhausen;5;0;5;2017
Landkreis Wunsiedel i. Fichtelgebirge;0;2;2;2017
Landkreis Würzburg;13;10;23;2017
Kreisfreie Stadt Berlin;491;16;507;2017
Kreisfreie Stadt Brandenburg an der Havel;1;0;1;2017
Kreisfreie Stadt Cottbus;0;0;0;2017
Kreisfreie Stadt Frankfurt (Oder);0;0;0;2017
Kreisfreie Stadt Potsdam;4;0;4;2017
Landkreis Barnim;2;2;4;2017
Landkreis Dahme-Spreewald;2;0;2;2017
Landkreis Elbe-Elster;0;0;0;2017
Landkreis Havelland;1;0;1;2017
Landkreis Märkisch-Oderland;0;0;0;2017
Landkreis Oberhavel;1;0;1;2017
Landkreis Oberspreewald-Lausitz;0;0;0;2017
Landkreis Oder-Spree;2;0;2;2017
Landkreis Ostprignitz-Ruppin;3;2;5;2017
Landkreis Potsdam-Mittelmark;3;4;7;2017
Landkreis Prignitz;0;0;0;2017
Landkreis Spree-Neiße;2;0;2;2017
Landkreis Teltow-Fläming;6;0;6;2017
Landkreis Uckermark;8;0;8;2017
Kreisfreie Stadt Bremen;4;0;4;2017
Kreisfreie Stadt Bremerhaven;6;0;6;2017
Kreisfreie Stadt Hamburg;314;15;329;2017
Kreisfreie Stadt Darmstadt;9;0;9;2017
Kreisfreie Stadt Frankfurt am Main;28;6;34;2017
Kreisfreie Stadt Kassel;36;0;36;2017
Kreisfreie Stadt Offenbach am Main;2;2;4;2017
Kreisfreie Stadt Wiesbaden;12;4;16;2017
Landkreis Bergstraße;4;0;4;2017
Landkreis Darmstadt-Dieburg;1;0;1;2017
Landkreis Fulda;17;2;19;2017
Landkreis Gießen;4;3;7;2017
Landkreis Groß-Gerau;6;0;6;2017
Landkreis Hersfeld-Rotenburg;11;4;15;2017
Landkreis Hochtaunuskreis;26;1;27;2017
Landkreis Kassel;44;6;50;2017
Landkreis Lahn-Dill-Kreis;4;0;4;2017
Landkreis Limburg-Weilburg;26;4;30;2017
Landkreis Main-Kinzig-Kreis;18;4;22;2017
Landkreis Main-Taunus-Kreis;17;2;19;2017
Landkreis Marburg-Biedenkopf;39;4;43;2017
Landkreis Odenwaldkreis;2;0;2;2017
Landkreis Offenbach;3;0;3;2017
Landkreis Rheingau-Taunus-Kreis;29;0;29;2017
Landkreis Schwalm-Eder-Kreis;19;2;21;2017
Landkreis Vogelsbergkreis;4;12;16;2017
Landkreis Waldeck-Frankenberg;10;0;10;2017
Landkreis Werra-Meißner-Kreis;16;0;16;2017
Landkreis Wetteraukreis;1;0;1;2017
Kreisfreie Stadt Rostock;16;0;16;2017
Kreisfreie Stadt Schwerin;0;0;0;2017
Landkreis Ludwigslust-Parchim;8;4;12;2017
Landkreis Mecklenburgische Seenplatte;7;0;7;2017
Landkreis Nordwestmecklenburg;0;2;2;2017
Landkreis Rostock;2;0;2;2017
Landkreis Vorpommern-Greifswald;16;8;24;2017
Landkreis Vorpommern-Rügen;8;2;10;2017
Kreisfreie Stadt Braunschweig;18;17;35;2017
Kreisfreie Stadt Delmenhorst;4;2;6;2017
Kreisfreie Stadt Emden;4;2;6;2017
Kreisfreie Stadt Oldenburg (Oldb);20;4;24;2017
Kreisfreie Stadt Osnabrück;2;0;2;2017
Kreisfreie Stadt Salzgitter;6;0;6;2017
Kreisfreie Stadt Wilhelmshaven;0;0;0;2017
Kreisfreie Stadt Wolfsburg;30;1;31;2017
Landkreis Ammerland;14;0;14;2017
Landkreis Aurich;12;0;12;2017
Landkreis Celle;4;1;5;2017
Landkreis Cloppenburg;10;0;10;2017
Landkreis Cuxhaven;20;0;20;2017
Landkreis Diepholz;6;0;6;2017
Landkreis Emsland;25;2;27;2017
Landkreis Friesland;11;0;11;2017
Landkreis Gifhorn;1;2;3;2017
Landkreis Goslar;16;2;18;2017
Landkreis Göttingen;43;4;47;2017
Landkreis Grafschaft Bentheim;18;2;20;2017
Landkreis Hameln-Pyrmont;0;2;2;2017
Landkreis Harburg;16;0;16;2017
Landkreis Heidekreis;16;0;16;2017
Landkreis Helmstedt;0;0;0;2017
Landkreis Hildesheim;2;0;2;2017
Landkreis Holzminden;2;0;2;2017
Landkreis Leer;14;0;14;2017
Landkreis Lüchow-Dannenberg;0;0;0;2017
Landkreis Lüneburg;5;0;5;2017
Landkreis Nienburg (Weser);0;0;0;2017
Landkreis Northeim;22;3;25;2017
Landkreis Oldenburg;1;10;11;2017
Landkreis Osnabrück;31;0;31;2017
Landkreis Osterholz;6;0;6;2017
Landkreis Peine;0;0;0;2017
Landkreis Region Hannover;38;3;41;2017
Landkreis Rotenburg (Wümme);16;2;18;2017
Landkreis Schaumburg;14;4;18;2017
Landkreis Stade;14;0;14;2017
Landkreis Uelzen;0;0;0;2017
Landkreis Vechta;11;0;11;2017
Landkreis Verden;11;0;11;2017
Landkreis Wesermarsch;5;0;5;2017
Landkreis Wittmund;10;0;10;2017
Landkreis Wolfenbüttel;0;0;0;2017
Kreis Borken;36;0;36;2017
Kreis Coesfeld;18;0;18;2017
Kreis Düren;34;0;34;2017
Kreis Ennepe-Ruhr-Kreis;32;0;32;2017
Kreis Euskirchen;26;0;26;2017
Kreis Gütersloh;4;0;4;2017
Kreis Heinsberg;9;0;9;2017
Kreis Herford;4;0;4;2017
Kreis Hochsauerlandkreis;8;0;8;2017
Kreis Höxter;10;0;10;2017
Kreis Kleve;16;0;16;2017
Kreis Lippe;30;4;34;2017
Kreis Märkischer Kreis;8;10;18;2017
Kreis Mettmann;24;2;26;2017
Kreis Minden-Lübbecke;20;0;20;2017
Kreis Oberbergischer Kreis;34;0;34;2017
Kreis Olpe;0;0;0;2017
Kreis Paderborn;10;0;10;2017
Kreis Recklinghausen;23;0;23;2017
Kreis Rhein-Erft-Kreis;35;0;35;2017
Kreis Rheinisch-Bergischer Kreis;23;0;23;2017
Kreis Rhein-Kreis Neuss;18;0;18;2017
Kreis Rhein-Sieg-Kreis;57;8;65;2017
Kreis Siegen-Wittgenstein;28;0;28;2017
Kreis Soest;4;2;6;2017
Kreis Städteregion Aachen;99;12;111;2017
Kreis Steinfurt;50;10;60;2017
Kreis Unna;22;4;26;2017
Kreis Viersen;7;0;7;2017
